구분,중점방제대상,병해충,방제약,데이터기준일자
감귤,노지감귤,방화해충,유토피아·스토네스·천하평정·리무진,2019-08-30
감귤,노지감귤,검은점무늬병+더뎅이병,안트라콜(수)·찬찬(입상)·탄젠트(입상)·델란,2019-08-30
감귤,노지감귤,궤양병,세빈나(액상)·델란케이(수)·가스란(수)·탐나라(수)·타미나(수)+탄산칼슘 200배,2019-08-30
감귤,노지감귤,귤녹응애,지존(액상)·마이탁(유)·산마루(수)·엔젤팜(액상)·밀베노크(유)·엔비도(액상),2019-08-30
감귤,노지감귤,화살깍지벌레,새빈나(액상)·델란케이(수)·네오보르도(수)+탄산칼슘 혼용,2019-08-30
감귤,노지감귤,검은점무늬병+귤응애(녹응애),다이센엠-45(수)·안트라콜(수)·만수무강(액상)+기계유(유)150배,2019-08-30
감귤,노지감귤,볼록총채벌레,보스(입상)·렘페이지(유)·왕중왕(입상)·다트롤(유탁)·슈퍼펀치(액상)·스트라이크(액상),2019-08-30
감귤,노지감귤,더뎅이병,벨쿠트(수)·델란(수)·푸르겐(수)·확시란(수)·르네상스,2019-08-30
감귤,노지감귤,진딧물,유토피아(액상)·천하평정(수)·스토네트(입상)·살무사,2019-08-30
감귤,노지감귤,궤양병+귤응애,구리제+기계유(유),2019-08-30
감귤,노지감귤,깍지벌레,검객(수)·바람탄(유제)·깍지킬(유)·매머드(액상),2019-08-30
참다래,참다래,잿빛곰팡이병,에스원(액상)·로브랄·머큐리,2019-08-30
참다래,참다래,궤양병,아그리마이신·방범대·젠토마이신,2019-08-30
참다래,참다래,꽃썩음병,가스란·고운손·타미나,2019-08-30
키위,키위,깍지벌레류,기계유유제 20~30배,2019-08-30
키위,키위,잿빛곰팡이병,에스원(액상)·칸투스(입상)·로데오·머큐리,2019-08-30
키위,키위,뽕나무깍지벌레,모벤토·검객·히어로·아타라,2019-08-30
채소,마늘,세균점무늬병,델란케이(수)·타미나(수),2019-08-30
채소,마늘,흑색썩음균핵병,살림꾼(액상)·킹스타·벨리스플러스·사파이어·카스텔란,2019-08-30
채소,마늘,잎마름병,캐스팅·오티바·호리쿠어·트리후민·다코닐·카브리오,2019-08-30
채소,마늘,잎집썩음병,한우물·용마루·일품·아무러,2019-08-30
채소,마늘,무름병,가스란·비천무·탐나라·옥싸이클린,2019-08-30
채소,마늘,고자리파리/뿌리응애,록숀(유)·스미치온(유)·삼공디메토(유),2019-08-30
채소,마늘,녹병,빈나리(수)·아미스타탑(액상)·푸르겐·금모리·호리쿠어,2019-08-30
채소,마늘,종구소독,큰나락(수)·삼공베노람(수),2019-08-30
채소,만생양파,잿빛곰팡이병,깨끄탄·탄프로·금모리·모두랑·미토스,2019-08-30
채소,만생양파,노균병,이슬병·탐실·다코닐·명작·젬프로·예작·리도밀엠지·미리카트·오티바·원프로,2019-08-30
채소,양파,노균병,다이센엠-45(수)·미리카트(액상)·원프로(액상)·오티바·명작·리도밀엠지·예작,2019-08-30
채소,양파,잿빛곰팡이병,탄프로(액상)·금모아(수)·펜피라(임상)·미토스·깨끄탄,2019-08-30
채소,쪽파,노균병,포룸(수)·탐실(액상)·젠토팜,2019-08-30
채소,쪽파,잿빛곰팡이병,만능타(수)·사파이어(액상)·후론사이드(수)·스칼라,2019-08-30
채소,토마토,역병,미리카트·역노산·텔루스·이코션,2019-08-30
채소,토마토,곰팡이별,사파이어·골든벨·스미렉스,2019-08-30
채소,토마토,잎곰팡이병,흥이나·탐스론·트리후민·지오판·카스텔란,2019-08-30
채소,토마토,잿빛곰팡이병,팡파르·텔도·스미렉스·차세대,2019-08-30
채소,토마토,담배가루이,산마루(수)·당찬(액상)·히어로(유)·살무사·흑룡·팬텀·델리게이트·바람탄,2019-08-30
채소,토마토,아메리카잎굴파리,파단·아타라·주무기,2019-08-30
채소,토마토,총채벌레,팬텀(입상)·레인지·렘페이지,2019-08-30
채소,딸기,잿빛곰팡이병,코리스(액상)·깨끄탄(수)·차단·칸투스·사파이어·금모리,2019-08-30
채소,딸기,온실가루이,에스지블루밍(액상)·신기루,2019-08-30
채소,딸기,응애,렘페이지·가네마이트·살비왕·올스타,2019-08-30
채소,딸기,총채벌레,오신(수)·팬텀(입상)·제왕(액상)·엑설트·파워샷골드,2019-08-30
채소,딸기,흰가루병,캐스팅(액상)·벨리스플러스·해비치·카브리오,2019-08-30
채소,보리,흰가루병,시스텐(수)·에이플(입상)·헥사코나졸(액상),2019-08-30
채소,수박,역병,미리카트(액상)·인피니트(액상)·캐스팅(액상)·리도밀골드(유)·젬프로(액상)·커튼(입상),2019-08-30
채소,수박,흰가루병,시워내(유)·피리오(액상)·새나리(유),2019-08-30
채소,수박,덩굴마름병/탄저병,에이플(입상)·카브리오(유)·두루두루(액상),2019-08-30
채소,수박,덩굴마름병,코리스(액상)·스트로비(액상)·베푸란(액)·삼진왕(미탁),2019-08-30
채소,수박,탄저병,다이센엠-45(수)·고추탄(수)·스포르곤(수)·벨쿠트(수),2019-08-30
채소,노지수박,역병. 탄저병,오티바(액상)·멜로디(수)·캐스팅(액상),2019-08-30
채소,노지수박,덩굴마름병,푸르겐(유)·머니업(수)·프린트(액상)·카브리오(유),2019-08-30
채소,노지수박,진딧물,빅카드(액상)·오신(수)·모스피란(수)·아타라(입상),2019-08-30
채소,호박(단호박),덩굴마름병,푸르겐(유)·트리후민(수)·두루두루(액상),2019-08-30
채소,호박(단호박),흰가루병,오티바(액상),2019-08-30
채소,고추,역병 · 탄저병,벨리스플러스(입상)·캐스팅(입상)·후론사이드(수),2019-08-30
채소,고추,역병,미리카트(액상)· 젬프로(액상)·명작(액상)·예약(액상)·캐스팅(액상),2019-08-30
채소,고추,담배나방,알지오(유탁)·프레바톤(수)·송골매(수)·행진(액상)·살무사(액),2019-08-30
채소,고추,탄저병,바이블(수)·카브리오(유)·가스란(수)·멸군탄(입)·벨리스플러스(입상),2019-08-30
채소,고추,진딧물,오신(수)·유토피아(액상)·주렁(수)·기사도(액상)·트랜스폼(액상),2019-08-30
채소,고추,총채벌레,귀공자(수)·모스피란(수)·젠토킬(미탁)·슐탄(액)·볼리암후레쉬(액상)·렘페이지(유),2019-08-30
채소,고추,세균점무늬병,아무러(수)·다이너스티(수)·메가폰(입상),2019-08-30
채소,고추,차먼지응애,피라니카(유)·산마루(수)·볼리암-타고(액상),2019-08-30
밭작물,감자,역병,캐스팅·젠토팜·미리카트·예작·이슬탄,2019-08-30
밭작물,감자,무름병,한우물·가스란·방범대,2019-08-30
밭작물,감자,진딧물,모스피란·모카스·트랜스폼·빅카드,2019-08-30
밭작물,더덕,녹병,디펜서(수)·스트로비(액상)·시스텐(수)·삼공헥사코나졸(액상),2019-08-30
밭작물,더덕,점무늬병,오티바(액상)·동방지오판(수)·두루두루(액상)·투빅(액상),2019-08-30
밭작물,더덕,진딧물+차응애,타스타(수)·강써브(수),2019-08-30
밭작물,참깨,역병,알리에테(수)·포룸씨(수)·미리카트(액상)·굳케어(수)·텔루스(액상)·모아모아(수),2019-08-30
밭작물,참깨,잘록병(종자소독),장타(액상)·갈무리(액상),2019-08-30
밭작물,참깨,시들음병,경녹옥시동(수)·팜한농옥시동(수)·영일옥시동(수),2019-08-30
밭작물,참깨,응애,지존(액상),2019-08-30
밭작물,콩,불마름병,아그리마이신(수)·젠토마이신(입상),2019-08-30
밭작물,콩,파밤나방,명타자(유탁)·암메이트(수),2019-08-30
밭작물,콩,톱다리개미허리노린재,유토피아(액상)·천하평정(수)·타스타(유),2019-08-30
밭작물,밭벼,멸구류,세베로(유)·코니도(수)·아타라(입상),2019-08-30
밭작물,밭벼,멸강나방,엘산(유)·빅뱅(유)·프레바톤(수),2019-08-30
밭작물,밭벼,잎도열병,골드미(액상)·빔(수),2019-08-30
밭작물,밭벼,혹명나방,런너(액상)·미네토스타(입상),2019-08-30
특용작물,벼,잎도열병,골든벨(액상)·아미스타(수)·빔(액상),2019-08-30
특용작물,벼,멸구류,오신(수)·세베로(유)·만루포(액상)·코니도(수),2019-08-30
특용작물,벼,멸강나방,엘산(유)·빅뱅(유),2019-08-30
