연도,호수,발표일,분류,농작물명,병해충유형,방제약,데이터기준일자
2022,제1호,2022-02-21,채소,딸기,잿빛곰팡이병,깨끄탄(수)·스포르곤(수)·차단(액수)·칸투스(입수)·코리스(액수) 등,2022-12-16
2022,제1호,2022-02-21,채소,딸기,온실가루이,신기루(유)·에스지블루밍(액수) 등,2022-12-16
2022,제2호,2022-03-16,감귤,하우스감귤(만감류),귤응애,다이마이트(분액)·마이트킹(액수)·산마루(수)·쇼크(액수) 등,2022-12-16
2022,제2호,2022-03-16,감귤,만감규(가온),귤응애,꽃이 20~30% 피면 기계유(유) 80~100배액 살포,2022-12-16
2022,제2호,2022-03-16,감귤,하우스감귤(만감류),총채벌레,델리게이트(입수)·엔젤팜(액상)·팡파레에스(액상)·퍼펙트(액수) 등,2022-12-16
2022,제2호,2022-03-16,채소,마늘,잎마름병,다코닐(수)·오티바(액수)·카브리오(유)·캐스팅(액수)·트리후민(수) 등,2022-12-16
2022,제2호,2022-03-16,채소,마늘,세균점무늬병,델란케이(수)·타미나(수) 등,2022-12-16
2022,제2호,2022-03-16,채소,마늘,잎집썩음병,메가폰(입수)·아무러(수)·용마루(수용)·일품(수) 등,2022-12-16
2022,제2호,2022-03-16,채소,양파,노균병,리도밀엠지(수)·명작(액수)·오티바(액수)·퀸텍(액수) 등,2022-12-16
2022,제2호,2022-03-16,채소,양파,잿빛곰팡이병,금모리(액수)· 미토스(액수)· 차단(액수)· 크린캡(유제),2022-12-16
2022,제2호,2022-03-16,채소,토마토,담배가루이,델리게이트(입수)·모벤토(액수)·팡파레(입수)·팬텀(입수) 등,2022-12-16
2022,제2호,2022-03-16,채소,토마토,아메리카잎굴파리,당찬(액수)·미네토스타(입수)·아타라(입수) 등,2022-12-16
2022,제2호,2022-03-16,채소,딸기,점박이응애,다이마이트(분액)·마이트킹(액수)·쇼크(액수) 등,2022-12-16
2022,제2호,2022-03-16,채소,딸기,총채벌레,다트롤(유탁)·엑설트(액수)·제왕(액수)·퍼펙트(액수) 등,2022-12-16
2022,제2호,2022-03-16,보리,보리,흰가루병,시스텐(수)·에이플(입상)·헥사코나졸(액상) 등,2022-12-16
2022,제3호,2022-04-01,감귤,하우스감귤(만감류),잿빛곰팡이병,사파이어(액상)·카브리오(유)·코리스(액상)·프린트(액수) 등,2022-12-16
2022,제3호,2022-04-01,감귤,하우스감귤(만감류),귤응애,다이마이트(분액)·마이트킹(액수)·산마루(수)·쇼크(액수) 등,2022-12-16
2022,제3호,2022-04-01,감귤,만감규,귤응애,꽃이 20~30% 피면 기계유(유) 80~100배액 살포,2022-12-16
2022,제3호,2022-04-01,감귤,하우스감귤(만감류),총채벌레,다트롤(유탁)·섹큐어(액수)·엑스라지(액수) 등,2022-12-16
2022,제3호,2022-04-01,채소,마늘,잎마름병,벨쿠트(수)·오티바(액수)·코사이드(수)·트리후민(수) 등,2022-12-16
2022,제3호,2022-04-01,채소,마늘,세균점무늬병,델란케이(수)·타미나(수) 등,2022-12-16
2022,제3호,2022-04-01,채소,마늘,잎집썩음병,메가폰(입수)·아무러(수)·용마루(수용)·일품(수) 등,2022-12-16
2022,제3호,2022-04-01,채소,마늘,녹병,살림꾼(입상)·아미스타탑(액수)·푸르겐(수)·한빛(액수) 등,2022-12-16
2022,제3호,2022-04-01,채소,양파/구쪽파,노균병,금모리(액수)·명작(액수)·오티바(액수)·텔루스(액수) 등,2022-12-16
2022,제3호,2022-04-01,채소,양파/구쪽파,잿빛곰팡이병,미토스(액수)·원티드(수)·차단(액수)·크린캡(액수),2022-12-16
2022,제3호,2022-04-01,채소,토마토,역병,명작(액수)·모아모아(수)·커튼(액수)·텍루스(액수) 등,2022-12-16
2022,제3호,2022-04-01,채소,토마토,잎곰팡이병,고추탄(수)·부티나(액수)·안트라콜(수)·지오판(수) 등,2022-12-16
2022,제3호,2022-04-01,채소,토마토,담배가루이,산마루(수)·살무사(액)·팡파레(입수)·팬텀(입수) 등,2022-12-16
2022,제3호,2022-04-01,채소,토마토,총채벌레,렘페이지(유)·총채탄(액수)·캡틴(유)·팬텀(입수) 등,2022-12-16
2022,제3호,2022-04-01,채소,딸기,응애,가네마이트(액수)·쇼크(액수)·주움(액수)·코드원(액수) 등,2022-12-16
2022,제3호,2022-04-01,채소,딸기,총채벌레,볼리암타고(액수)·엑설트(액수)·오신(수)·제왕(액수) 등,2022-12-16
2022,제3호,2022-04-01,보리,보리,흰가루병,시스텐(수)·에이플(입상)·헥사코나졸(액상) 등,2022-12-16
2022,제4호,2022-04-15,감귤,노지감귤,더뎅이병,유닉스(입상)·푸르겐(수)·프린트(액상)·확시란(수) 등,2022-12-16
2022,제4호,2022-04-15,감귤,만감류,귤응애,다이마이트(분액)·마이트킹(액수)·진격(액수) 등,2022-12-16
2022,제4호,2022-04-15,감귤,만감류,잿빛,사파이어(액상)·카브리오(유)·프린트(액수)·후론사이드(수) 등,2022-12-16
2022,제4호,2022-04-15,감귤,만감류,총채벌레,미네토스타(입수)·엑스라지(액수)·캡틴(수) 등,2022-12-16
2022,제4호,2022-04-15,키위,키위,궤양병,방범대(수)·비온(입상)·아그리마이신(수)·아무러(수)·젠토마이신(입수) 등,2022-12-16
2022,제4호,2022-04-15,키위,키위,잿빛곰팡이병,로브랄(수)·머큐리(액수)·에스원(액상) 등,2022-12-16
2022,제4호,2022-04-15,키위,키위,꽃썩음병,가스란(수)·고운손(입수)·타미나(수) 등,2022-12-16
2022,제4호,2022-04-15,채소,마늘,잎마름병,캐스팅(액수)·카스텔란(수)·트리후민(액수) 등,2022-12-16
2022,제4호,2022-04-15,채소,마늘,잎집썩음병,방범대(수)·아무러(수)·용마루(수용) 등,2022-12-16
2022,제4호,2022-04-15,채소,마늘,녹병,살림꾼(수)·스트로비(액수)·프린트(액수) 등,2022-12-16
2022,제4호,2022-04-15,채소,양파/쪽파,노균병,명작(액수)·퀸텍(액수)·텔루스(액수)·포룸(수) 등,2022-12-16
2022,제4호,2022-04-15,채소,양파/쪽파,잿빛곰팡이병,미토스(액수)·차단(액수)·크린캡(액수)·펜피라(입수) 등,2022-12-16
2022,제4호,2022-04-15,채소,토마토,담배가루이,모벤토(액수)·엑설트(액수)·오신(수)·히어로(유) 등,2022-12-16
2022,제4호,2022-04-15,채소,딸기,잿빛,머큐리(액상)·차단(액수)·탤런트(액상)·팡파르(수) 등,2022-12-16
2022,제5호,2022-05-02,감귤,노지감귤,더뎅이병,유닉스(입수)·푸르겐(수)·확시란(수) 등,2022-12-16
2022,제5호,2022-05-02,감귤,노지감귤,방화해충,빅카드(액수)·스토네트(입수)·유토피아(액수) 등,2022-12-16
2022,제5호,2022-05-02,감귤,노지감귤,잿빛곰팡이병,카브리오(유)·프린트(액수)·후론사이드(수) 등,2022-12-16
2022,제5호,2022-05-02,감귤,노지감귤,귤응애,노블레스(액수)·마이트킹(액수)·진격(액수) 등,2022-12-16
2022,제5호,2022-05-02,감귤,노지감귤,궤양병,보르도액 등 구리제,2022-12-16
2022,제5호,2022-05-02,감귤,만감류,잿빛곰팡이병,사파이어(액수)·프로키온(액수)·프린트(액수) 등,2022-12-16
2022,제5호,2022-05-02,감귤,만감류,귤응애,노블레스(액수)·마이트킹(액수)·산마루(수) 등,2022-12-16
2022,제5호,2022-05-02,감귤,만감류,총채벌레,미네토스타(입수)·엑스라지(액수) 등,2022-12-16
2022,제5호,2022-05-02,감귤,만감류,차잎말이나방,맬럿플러스(액수)·알리세(입수)·알타코아(입수) 등,2022-12-16
2022,제5호,2022-05-02,키위,키위,잿빛곰팡이병,로브랄(수)·머큐리(액수)·차단(액수)·칸투스(입수) 등,2022-12-16
2022,제5호,2022-05-02,키위,키위,뽕나무깍지벌레,똑소리(입수)·모벤토(액수)·보스(입수)·히어로(유) 등,2022-12-16
2022,제5호,2022-05-02,채소,마늘,잎마름병,삼진왕(미탁)·오티바(액수)·카브리오(유)·캐스팅(액수) 등,2022-12-16
2022,제5호,2022-05-02,채소,마늘,잎집썩음병·무름병,아무러(수)·옥사이클린(입수)·일품(수)·탐나라(수) 등,2022-12-16
2022,제5호,2022-05-02,채소,마늘,녹병,살림꾼(액수)·스트로비(액수)·오티바옵티(액수)·프린트(액수) 등,2022-12-16
2022,제5호,2022-05-02,채소,만생양파,노균병,명작(액수)·오티바(액수)·젬프로(액수)·텔루스(액수) 등,2022-12-16
2022,제5호,2022-05-02,채소,만생양파,잿빛곰팡이병,금모리(액수)·미토스(액수)·차단(액수)·크린캡(액수),2022-12-16
2022,제5호,2022-05-02,채소,시설토마토,곰팡이병,골든벨(액수)·사파이어(액수)·텔도(수) 등,2022-12-16
2022,제5호,2022-05-02,채소,시설토마토,가루이류/총채벌레,당찬(액수)·엑설트(액수) 등,2022-12-16
2022,제5호,2022-05-02,감자,감자,역병,명작(액수)·젬프로(액수)·캐스팅(수)·포룸(수) 등,2022-12-16
2022,제5호,2022-05-02,감자,감자,무름병,가스란(수)·방범대(수)·한우물(수용) 등,2022-12-16
2022,제6호,2022-05-16,감귤,노지감귤,더뎅이병,살림꾼(액수)·유닉스(입수)·푸르겐(수)·확시란(수) 등,2022-12-16
2022,제6호,2022-05-16,감귤,노지감귤,잿빛곰팡이병,골드타임(액수)·차단(액수)·프린트(액수)·후론사이드(수) 등,2022-12-16
2022,제6호,2022-05-16,감귤,노지감귤,궤양병+귤응애,구리제+기계유(유) 등,2022-12-16
2022,제6호,2022-05-16,감귤,노지감귤,진딧물,스토네트(입수)·유토피아(액수)·천하평정(수) 등,2022-12-16
2022,제6호,2022-05-16,감귤,만감류,잿빛곰팡이병,골드타임(액수)·벨리스플러스(입수)·사파이어(액수)·프린트(액수) 등,2022-12-16
2022,제6호,2022-05-16,감귤,만감류,귤응애,노블레스(액상)·다이마이트(분액)·마이트킹(액수)·진격(액수) 등,2022-12-16
2022,제6호,2022-05-16,감귤,만감류,총채벌레,엑스라지(액수)·제라진(유)·팡파레에스(액상) 등,2022-12-16
2022,제6호,2022-05-16,감귤,만감류,차잎말이나방,귀공자(수)·맬럿플러스(액수)·알타코아(입수)·알리세(입수) 등,2022-12-16
2022,제6호,2022-05-16,키위,키위,잿빛곰팡이병,로브랄(수)·머큐리(액수)·차단(액수)·칸투스(입수) 등,2022-12-16
2022,제6호,2022-05-16,키위,키위,뽕나무깍지벌레,검객(수)·똑소리(액수)·모벤토(액수)·히어로(유) 등,2022-12-16
2022,제6호,2022-05-16,채소,만생양파,노균병,명작(액수)·오티바(액수)·젬프로(액수)·텔루스(액수) 등,2022-12-16
2022,제6호,2022-05-16,채소,만생양파,잿빛곰팡이병,금모리(액수)·미토스(액수)·차단(액수)·크린캡(액수),2022-12-16
2022,제6호,2022-05-16,채소,시설토마토,곰팡이병,골든벨(액수)·사파이어(액수)·텔도(수) 등,2022-12-16
2022,제6호,2022-05-16,채소,시설토마토,담배가루이,검객(수)·모벤토(액상)·엑설트(액수) 등,2022-12-16
2022,제6호,2022-05-16,채소,시설토마토,총채벌레,레인지(미탁)·렘페이지(유)·팬텀(입수) 등,2022-12-16
2022,제6호,2022-05-16,감자,감자,역병,리도밀엠지(수)·명작(액수)·캐스팅(수)·포룸(수) 등,2022-12-16
2022,제6호,2022-05-16,감자,감자,무름병,가스란(수)·방범대(수)·크러쉬(입수)·한우물(수용) 등,2022-12-16
2022,제6호,2022-05-16,감자,감자,진딧물,모카스(수)·빅카드(액수)·트랜스폼(액수)·헥사곤(입수) 등,2022-12-16
2022,제7호,2022-05-31,감귤,노지(비가림)감귤,검은점무늬병,다이센엠45(수) 등,2022-12-16
2022,제7호,2022-05-31,감귤,노지(비가림)감귤,검은점무늬병+더뎅이병,안트라콜(수)·델란(수) 등,2022-12-16
2022,제7호,2022-05-31,감귤,노지(비가림)감귤,궤양병,새빈나(액수)·에스지세균박사(액수)·코사이드(수)+탄산칼슘 등,2022-12-16
2022,제7호,2022-05-31,감귤,노지(비가림)감귤,화살깍지벌레,깍지사이드(입수)·똑소리(입상)·검객(수)·바람탄(유) 등,2022-12-16
2022,제7호,2022-05-31,감귤,하우스감귤(만감류),귤응애,가네마이트(액수)·아크라마이트(액수)·진격(액수) 등,2022-12-16
2022,제7호,2022-05-31,감귤,하우스감귤(만감류),총채벌레,기발라(입수)·미네토스타(입수)·액스라지(액수) 등,2022-12-16
2022,제7호,2022-05-31,감귤,하우스감귤(만감류),차잎말이나방,맬럿플러스(액수)·알타코어(입수) 등,2022-12-16
2022,제7호,2022-05-31,키위,키위,잿빛곰팡이병,로브랄(수)·머큐리(액수)·칸투스(입수) 등,2022-12-16
2022,제7호,2022-05-31,채소,호박(단호박),역병,리도밀(수)·오티바(수) 등,2022-12-16
2022,제7호,2022-05-31,채소,호박(단호박),흰가루병,머큐리슈퍼(액수)·새나리(유) 등,2022-12-16
2022,제7호,2022-05-31,채소,수박,역병,명작(액수)·인피니트(액수)·캐스팅(액수) 등,2022-12-16
2022,제7호,2022-05-31,채소,수박,흰가루병,그린비(액수)·산요루(유)·해비치(입수) 등,2022-12-16
2022,제7호,2022-05-31,밭작물,더덕,녹병,스트로비(액수)·시스텐(수)·호리쿠어(유) 등,2022-12-16
2022,제7호,2022-05-31,밭작물,참깨,역병,굳케어(수)·명작(액수)·리도밀골드(수)·알리에테(수) 등,2022-12-16
2022,제7호,2022-05-31,밭작물,참깨,잘록병(종자소독),가지란(수)·몬카트(유)·안타(유) 등,2022-12-16
2022,제7호,2022-05-31,밭작물,옥수수,조명나방,세베로(유)·알타코아(입수) 등,2022-12-16
2022,제7호,2022-05-31,밭작물,옥수수,멸강나방,알리세(입수)·엘산(유) 등,2022-12-16
2022,제7호,2022-05-31,밭작물,옥수수,열대거세미나방,종결자(액수)·프레바톤(수) 등,2022-12-16
2022,제8호,2022-06-16,감귤,노지감귤,검은점무늬병+귤녹응애,다이센엠45(수),2022-12-16
2022,제8호,2022-06-16,감귤,노지감귤,검은점무늬병+더뎅이병,델란(수)·안트라콜(수),2022-12-16
2022,제8호,2022-06-16,감귤,노지감귤,볼록총채벌레,골드윈(액수)·렘페이지(유)·액스라지(액수) 등,2022-12-16
2022,제8호,2022-06-16,감귤,노지감귤,깍지벌레,매머드(액수)·온누리(수)·검객(수)·아타라(입수) 등,2022-12-16
2022,제8호,2022-06-16,감귤,하우스감귤(만감류),귤응애,노블레스(액수)·다이마이트(분액)·마이트킹(액수)·쇼크(액수) 등,2022-12-16
2022,제8호,2022-06-16,감귤,하우스감귤(만감류),귤굴나무+진딧물,당찬(액수)·미네토스타(입수)·힘센(입수) 등,2022-12-16
2022,제8호,2022-06-16,채소,수박,역병,명작(액수)·미리카트(액수)·오티머스(액수)·캐스팅(액수) 등,2022-12-16
2022,제8호,2022-06-16,채소,수박,덩굴마름병,베푸란(액)·삼진왕(미탁)·스트로비(액수)·코리스(액수) 등,2022-12-16
2022,제8호,2022-06-16,채소,수박,탄저병,고추탄(수)·다이센엠45(수)·벨쿠트(수)·스포르곤(수) 등,2022-12-16
2022,제8호,2022-06-16,채소,단호박,덩굴마름병,오티바(액수)·트리후민(수)·푸르겐(유) 등,2022-12-16
2022,제8호,2022-06-16,채소,고추,역병,리도밀엠지(수)·예작(액수)·캐스팅(액수)·포룸디(수) 등,2022-12-16
2022,제8호,2022-06-16,채소,고추,탄저병,리도밀엠지(수)·예작(액수)·캐스팅(액수)·포룸디(수) 등,2022-12-16
2022,제8호,2022-06-16,채소,고추,담배나방,살무사(액)·송골매(수)·알지오(유탁)·프레바톤(수)·행진(액상) 등,2022-12-16
2022,제8호,2022-06-16,밭작물,더덕,녹병,시스텐(수)·디펜더(수)·스트로비(액수)·호리큐어(유) 등,2022-12-16
2022,제8호,2022-06-16,밭작물,더덕,점무늬병,오티바(액상)·지오판(수)·프린트(액수) 등,2022-12-16
2022,제8호,2022-06-16,밭작물,참깨,역병,굳케어(수)·명작(액수)·알리에테(수)·텔루스(액수) 등,2022-12-16
2022,제8호,2022-06-16,밭작물,옥수수,열대거세미나방,종결자(액수)·프레바톤(수) 등,2022-12-16
2022,제8호,2022-06-16,밭작물,옥수수,멸강나방,알리세(입수)·엘산(유) 등,2022-12-16
2022,제8호,2022-06-16,밭작물,옥수수,조명나방,세베로(유)·알타코아(입수) 등,2022-12-16
2022,제9호,2022-07-01,감귤,노지감귤,검은점무늬병+귤녹응애,다이센엠45(수),2022-12-16
2022,제9호,2022-07-01,감귤,노지감귤,검은점무늬병+더뎅이병,델란(수)·안트라콜(수)·일급탄(입수) 등,2022-12-16
2022,제9호,2022-07-01,감귤,노지감귤,볼록총채벌레,렘페이지(유)·엑설트(액수)·엑스라지(액수)·엔젤팜(액수) 등,2022-12-16
2022,제9호,2022-07-01,감귤,노지감귤,깍지벌레,깍지사이드(입수)·검객(수) 등,2022-12-16
2022,제9호,2022-07-01,감귤,하우스감귤(만감류),귤응애,노블레스(액수)·다이마이트(분액)·마이트킹(액수)·비수(액수)·쇼크(액수) 등,2022-12-16
2022,제9호,2022-07-01,감귤,하우스감귤(만감류),차먼지응애,산마루(수)·와이드샷(분액) 등,2022-12-16
2022,제9호,2022-07-01,감귤,하우스감귤(만감류),녹응애,산마루(수)·엔젤팜(액수)·잭팟(액수) 등,2022-12-16
2022,제9호,2022-07-01,감귤,하우스감귤(만감류),총채벌레,엑설트(수)·섹규어(액수)·미네토스타(입수) 등,2022-12-16
2022,제9호,2022-07-01,채소,수박,역병,리도밀골드(유)·젬프로(액상)·커튼(입수) 등,2022-12-16
2022,제9호,2022-07-01,채소,수박,덩굴마름병,머니업(수)·베푸란(액)·삼진왕(미탁)·스트로비(액수) 등,2022-12-16
2022,제9호,2022-07-01,채소,수박,탄저병,고추탄(수)·다이센엠45(수)·벨쿠트(수)·스포르곤(수) 등,2022-12-16
2022,제9호,2022-07-01,채소,수박,흰가루병,아너스(액수)·트리후민(수)·시워내(유) 등,2022-12-16
2022,제9호,2022-07-01,채소,단호박,흰가루병,아너스(액수)·트리후민(수)·시워내(유) 등,2022-12-16
2022,제9호,2022-07-01,채소,고추,역병,리도밀엠지(수)·명작(액수)·미리카트(액수)·캐스팅(액수) 등,2022-12-16
2022,제9호,2022-07-01,채소,고추,탄저병,벨리스플러스(입수)·찬찬(입수)·벨쿠트(수) 등,2022-12-16
2022,제9호,2022-07-01,채소,고추,총채벌레,당찬(액수)·비수(액수)·총채도사(액수) 등,2022-12-16
2022,제9호,2022-07-01,채소,고추,세균점무늬병,아무러(수)·다이너스티(수)·메가폰(입수) 등,2022-12-16
2022,제9호,2022-07-01,밭작물,밭벼,잎도열병,골든벨(액수)·빔(액수)·아미스타(수) 등,2022-12-16
2022,제9호,2022-07-01,밭작물,밭벼,멸구류,똑소리(입수)·명타자(유탁)·보스(입수)·아타라(입수) 등,2022-12-16
2022,제9호,2022-07-01,밭작물,밭벼,나방류,엘산(유)·프레바톤(수) 등,2022-12-16
2022,제9호,2022-07-01,밭작물,기장,나방류,엘산(유)·프레바톤(수) 등,2022-12-16
2022,제9호,2022-07-01,밭작물,더덕,녹병,디펜더(수)·스트로비(액수)·시스텐(수)·호리큐어(유) 등,2022-12-16
2022,제9호,2022-07-01,밭작물,더덕,점무늬병,오티바(액수)·지오판(수)·프린트(액수) 등,2022-12-16
2022,제9호,2022-07-01,밭작물,참깨,역병,굳케어(수)·나폴레옹(입수)·명작(액수)·미리카트(액수) 등,2022-12-16
2022,제9호,2022-07-01,밭작물,참깨,시들음병,옥시동(수) 등,2022-12-16
2022,제10호,2022-07-15,감귤,노지감귤,검은점무늬병,다이센엠45(수)·머니업(수)·비온엠(수)·일급탄(입수) 등,2022-12-16
2022,제10호,2022-07-15,감귤,노지감귤,볼록총채벌레,렘페이지(유)·엑설트(액수)·엑스라지(액수)·엔젤팜(액수) 등,2022-12-16
2022,제10호,2022-07-15,감귤,노지감귤,귤녹응애,비수(액수)·산마루(수)·엔젤팜(액수)·잭팟(액수) 등,2022-12-16
2022,제10호,2022-07-15,감귤,하우스감귤(만감류),응애류,노블레스(액수)·마이트킹(액수)·비수(액수)·진격(액수) 등,2022-12-16
2022,제10호,2022-07-15,감귤,하우스감귤(만감류),진딧물,모벤토(액수)·트랜스폼(액수)·팡파레에스(수) 등,2022-12-16
2022,제10호,2022-07-15,감귤,하우스감귤(만감류),귤굴나방,미네토스타(입수)·알타코어(입수)·칼립소(액수) 등,2022-12-16
2022,제10호,2022-07-15,채소,노지수박,역병,오티바(액수)·캐스팅(액수) 등,2022-12-16
2022,제10호,2022-07-15,채소,노지수박,탄저병,오티바(액수)·캐스팅(액수) 등,2022-12-16
2022,제10호,2022-07-15,채소,노지수박,덩굴마름병,머니업(수)·카브리오(유)·푸르겐(유)·프린트(액수) 등,2022-12-16
2022,제10호,2022-07-15,채소,노지수박,진딧물,모스피란(수)·빅카드(액수)·아타라(입수)·오신(수) 등,2022-12-16
2022,제10호,2022-07-15,채소,고추,역병,미리카트(액수)·명작(액수)·예작(액수)·캐스팅(액수) 등,2022-12-16
2022,제10호,2022-07-15,채소,고추,탄저병,가스란(수)·벨리스플러스(입수)·바이블(수)·카브리오(유) 등,2022-12-16
2022,제10호,2022-07-15,채소,고추,진딧물,기사도(액수)·오신(수)·유토피아(액수)·주렁(수)·트랜스폼(액수) 등,2022-12-16
2022,제10호,2022-07-15,채소,고추,총채벌레,귀공자(수)·렘페이지(유)·볼리암후레쉬(액수)·슐탄(액) 등,2022-12-16
2022,제10호,2022-07-15,밭작물,더덕,녹병,디펜더(수)·스트로비(액수)·시스텐(수)·호리큐어(유) 등,2022-12-16
2022,제10호,2022-07-15,밭작물,더덕,점무늬병,오티바(액상)·지오판(수)·프린트(액수) 등,2022-12-16
2022,제11호,2022-08-01,감귤,노지감귤,검은점무늬병,다이센엠45(수)·머니업(수)·비온엠(수)·일급탄(입수) 등,2022-12-16
2022,제11호,2022-08-01,감귤,노지감귤,궤양병,가스란(수)·탐나라(수)·SG세균박사(액수)+탄산칼슘 200배 등,2022-12-16
2022,제11호,2022-08-01,감귤,노지감귤,볼록총채벌레,엑스라지(액수)·볼리암타고(액수)·천하평정(수) 등,2022-12-16
2022,제11호,2022-08-01,감귤,노지감귤,귤녹응애,비수(액수)·산마루(수)·엔젤팜(액수)·잭팟(액수) 등,2022-12-16
2022,제11호,2022-08-01,감귤,만감류,응애류,노블레스(액수)·마이트킹(액수)·비수(액수)·진격(액수) 등,2022-12-16
2022,제11호,2022-08-01,감귤,만감류,귤굴나방,미네토스타(입수)·알타코어(입수)·칼립소(액수) 등,2022-12-16
2022,제11호,2022-08-01,채소,수박,역병,명작(액수)·미리카트(액수)·인피니트(액수)·캐스팅(액수) 등,2022-12-16
2022,제11호,2022-08-01,채소,수박,덩굴마름병,에이플(입수)·오티바(액수)·카브리오(유) 등,2022-12-16
2022,제11호,2022-08-01,채소,수박,탄저병,에이플(입수)·오티바(액수)·카브리오(유) 등,2022-12-16
2022,제11호,2022-08-01,채소,마늘,종구소독,삼공베노람(수)·큰나락(수) 1시간 침지 후 그늘에서 말림,2022-12-16
2022,제11호,2022-08-01,채소,마늘,고자리파리,록손(유)·삼공디메토(유)·스미치온(유) 등,2022-12-16
2022,제11호,2022-08-01,채소,마늘,뿌리응애,록손(유)·삼공디메토(유)·스미치온(유) 등,2022-12-16
2022,제11호,2022-08-01,채소,고추,총채벌레,귀공자(수)·렘페이지(유)·제라진(유)·슐탄(액수) 등,2022-12-16
2022,제11호,2022-08-01,채소,고추,차먼지응애,볼리암타고(액수)·쇼크(액수)·산마루(수) 등,2022-12-16
2022,제11호,2022-08-01,밭작물,더덕,녹병,디펜더(수)·스트로비(액수)·시스텐(수)·호리큐어(유) 등,2022-12-16
2022,제11호,2022-08-01,밭작물,더덕,점무늬병,오티바(액상)·지오판(수)·프린트(액수) 등,2022-12-16
2022,제11호,2022-08-01,밭작물,콩,불마름병,명품탄(입수)·젠토마이신(수)·앰블런(입수) 등,2022-12-16
2022,제11호,2022-08-01,밭작물,콩,파밤나방,명검(입수)·명타자(유탁)·암메이트(수) 등,2022-12-16
2022,제11호,2022-08-01,밭작물,콩,톱다리개미허리노린재,천하평정(수)·타스타(유)·유토피아(액수) 등,2022-12-16
2022,제12호,2022-08-16,감귤,노지감귤,검은점무늬병,다이센엠-45(수)·머니업(수)·비온셈(수)·일급탄(입수) 등,2022-12-16
2022,제12호,2022-08-16,감귤,노지감귤,궤양병,가스란(수)·탐나라(수)·SG세균박사(액수)+탄산칼슘 200배 등,2022-12-16
2022,제12호,2022-08-16,감귤,노지감귤,귤응애(귤녹응애),비수(액수)·산마루(수)·엔젤팜(액수)·잭팟(액수) 등,2022-12-16
2022,제12호,2022-08-16,감귤,노지감귤,총채벌레류,엑스라지(액수)·볼리암타고(액수)·천하평정(수) 등,2022-12-16
2022,제12호,2022-08-16,감귤,만감류,응애류,노블레스(액수)·마이트킹(액수)·비수(액수)·진격(액수) 등,2022-12-16
2022,제12호,2022-08-16,감귤,만감류,귤굴나방,미네토스타(입수)·알타코어(입수)·칼립소(액수) 등,2022-12-16
2022,제12호,2022-08-16,채소,마늘,종구소독,베노밀·티람수화제(큰나락· 삼공베노람),2022-12-16
2022,제12호,2022-08-16,채소,고추,총채벌레,귀공자(수)·렘페이지(유)·제라진(유)·슐탄(액수) 등,2022-12-16
2022,제12호,2022-08-16,채소,고추,차먼지응애,볼리암타고(액수)·쇼크(액수)·산마루(수) 등,2022-12-16
2022,제12호,2022-08-16,채소,고추,역병·탄저병,벨리스플러스(입수)·캐스팅(입수)·후론사이드(수),2022-12-16
2022,제12호,2022-08-16,밭작물,콩,불마름병,명품탄(입수)·젠토마이신(수)·앰블런(입수) 등,2022-12-16
