연도,호수,발표일,분류,농작물명,병해충유형,방제약,데이터기준일자
2024,3호,2024-04-01,채소,양파.구쪽파,노균병,금모리(액수)·명작(액수)·오티바(액수)·텔루스(액수) 등,2024-04-15
2024,3호,2024-04-01,채소,양파.구쪽파,잿빛곰팡이병,미토스(액수)·원티드(수)·차단(액수)·크린캡(액수),2024-04-15
2024,3호,2024-04-01,채소,토마토,역병,명작(액수)·커튼(액수)·텔루스(액수) 등,2024-04-15
2024,3호,2024-04-01,채소,토마토,잎곰팡이병,고추탄(수)·부티나(액수)·안트라콜(수)·지오판(수) 등,2024-04-15
2024,3호,2024-04-01,채소,토마토,담배가루이,산마루(수)·살무사(액)·팬텀(입수) 등,2024-04-15
2024,3호,2024-04-01,채소,토마토,총채벌레,렘페이지(유)·총채탄(액수)·캡틴(유)·팬텀(입수) 등,2024-04-15
2024,3호,2024-04-01,채소,초당옥수수,깨씨무늬병,푸르겐(수)·베노밀(수)·오티바(액수) 등,2024-04-15
2024,3호,2024-04-01,채소,초당옥수수,조명나방,장원(유)·델리게이트(입수)·세베로(유) 등,2024-04-15
2024,3호,2024-04-01,채소,단호박,덩굴마름병,푸르겐(유)·균파워(액수)·오티바(액수) 등,2024-04-15
2024,4호,2024-04-15,감귤,노지감귤,더뎅이병,미래빛(액수)·유닉스(입상)·푸르겐(수)·프린트(액상)·확시란(수) 등,2024-04-15
2024,4호,2024-04-15,감귤,만감류,귤응애,가네마이트(액수)·다이마이트(분액)·마이트킹(액수)·비수(액수)·진격(액수) 등,2024-04-15
2024,4호,2024-04-15,감귤,만감류,잿빛곰팡이병,미래빛(액수)·카브리오(유)·프린트(액수)·후론사이드(수) 등,2024-04-15
2024,4호,2024-04-15,감귤,만감류,총채벌레,미네토스타(입수)·엑스라지(액수)·제라진(유)·킹스팜(액수) 등,2024-04-15
2024,4호,2024-04-15,키위,키위,궤양병,방범대(수)·비온(입상)·아그리마이신(수)·아무러(수)·젠토마이신(입수) 등,2024-04-15
2024,4호,2024-04-15,키위,키위,잿빛곰팡이병,로브랄(수)·머큐리(액수)·에스원(액상)등,2024-04-15
2024,4호,2024-04-15,키위,키위,꽃썩음병,가스란(수)·고운손(입수)·영일스마트(입수) 등,2024-04-15
2024,4호,2024-04-15,채소,마늘,잎마름병,캐스팅(액수)·카스텔란(수)·트리후민(액수) 등,2024-04-15
2024,4호,2024-04-15,채소,마늘,잎집썩음병,방범대(수)·아무러(수)·용마루(수용) 등,2024-04-15
2024,4호,2024-04-15,채소,마늘,녹병,살림꾼(수)·스트로비(액수)·프린트(액수) 등,2024-04-15
2024,4호,2024-04-15,채소,양파·쪽파,노균병,명작(액수)·퀸텍(액수)·텔루스(액수)·포룸(수) 등,2024-04-15
2024,4호,2024-04-15,채소,양파·쪽파,잿빛곰팡이병,미토스(액수)·차단(액수)·크린캡(유)·펜피라(입수) 등,2024-04-15
2024,4호,2024-04-15,채소,토마토,담배가루이(나방류),모벤토(액수)·엑설트(액수)·에이팜(유)·토리치(분액)·캡틴(유) 등,2024-04-15
2024,4호,2024-04-15,채소,토마토,총채벌레,렘페이지(유)·기대찬(입수)·아스타렉(액),2024-04-15
2024,4호,2024-04-15,채소,딸기,잿빛곰팡이병,머큐리(액상)·차단(액수) 탈렌트(액상)·팡파르(수) 등,2024-04-15
2024,4호,2024-04-15,채소,초당옥수수,깨시무늬병,푸르겐(수)·베노밀(수)·오티바(액수) 등,2024-04-15
2024,4호,2024-04-15,채소,초당옥수수,조명나방,장원(유)·델타포스(유)·세베로(유) 등,2024-04-15
2024,4호,2024-04-15,채소,단호박,덩굴마름병,푸르겐(유)·균파워(액수)·오티바(액수) 등,2024-04-15
